Date / Time,City,State,Shape,Duration,Summary,Posted
4/28/2020 21:30,Fordyce,AR,Light,5-10min,Lights traveling. ((Starlink satellites??),6/25/2020
4/28/2020 21:30,Louisville,KY,Light,5 MINUTES,Numerous lights moving in a single file seen in the nighttime sky. ((Starlink satellites?)),6/25/2020
4/28/2020 21:20,Wichita,KS,Formation,Minutes,Saw a bunch of round bright lights in formation across the whole sky..((Starlink satellites??),6/25/2020
4/28/2020 21:19,Charleston,WV,Light,About 2 minutes,Approximately 10 lights located high in the sky traveling simultaneously NW to SE. ((Starlink satellites?)),6/25/2020
4/28/2020 21:15,North Augusta,SC,Light,10 minutes,Long string of lights traveling for south west to the north east. Evenly spaced apart. ((Starlink satellites?)),6/25/2020
4/28/2020 21:15,Boiling Spring Lakes,NC,Other,90-120 seconds,"Numerous objects, similar in size and brightness to stars at night, moving rapidly in a northwest to southeast arc, then disappearing.",6/25/2020
4/28/2020 21:09,Watsonville,CA,,,MADAR Node 105,6/25/2020
4/28/2020 21:00,Mays Landing,NJ,Circle,20 seconds,30 silent bright lights moving fast in a row. ((Starlink satellites?)),6/25/2020
4/28/2020 21:00,Easley,SC,Light,18 minutes,50 light anomalies headed north east in PERFECT FORMATION AND SPACING apart. ((Starlink satellites??),6/25/2020
4/28/2020 21:00,Baltimore City,MD,Circle,10 seconds,Bright circular lights flying in unison. ((Starlink satellites?)),6/25/2020
4/28/2020 21:00,Merrilville,IN,Light,1:45,UFO’s Might be Observing Elon Musk’s StarLink satellites!,6/25/2020
4/28/2020 20:55,Scott’s Valley,CA,Chevron,5-10 seconds,"Large, dim, chevron shaped craft seen at night traveling north and accompanied by an oblong craft traveling very fast",6/25/2020
4/28/2020 20:51,Newark,DE,Light,1 minute,Lights moving evenly in single file at a fast pace. ((Starlink satellites?)),6/25/2020
4/28/2020 20:50,Pueblo,CO,Light,2-3 minutes,Traveling lights over Pueblo. ((Starlink satellites??),6/25/2020
4/28/2020 20:45,Medford,OR,Fireball,10 seconds,Flaming object traveling extremely quickly from east to west duration lasting between 3 and 8 seconds descended towards Jacksonville.,6/25/2020
4/28/2020 20:45,Beaverton,OR,Sphere,15 seconds,"Appeared out of nowhere, slighyly above the tree line, crossed over roadway, east to west. White ball of light, crossed quickly then sp",6/25/2020
