datetime,city,state,country,shape,duration,summary,posted,latitude,longitude
4/27/2020 21:10,Ruther Glen,VA,us,Unknown,18 seconds,"Large ufo in Ruther Glen, VA. ((Starlink satellites?))",6/25/2020,37.9302,-77.4587
4/27/2020 21:09,Watsonville,CA,us,,,"MADAR Node 105, replaces 04/28/2020 same location",6/25/2020,36.9102,-121.7569
4/27/2020 21:08,Townsend,DE,us,Formation,3 minutes,Lasted 3 minutes.right over my house 25 to 30 bright single and seperated by almost the same distance. ((Starlink satellites?)),6/25/2020,39.3944,-75.6937
4/27/2020 21:06,South Frontenac,PA,us,Circle,90 seconds,25 solid circular lights moving SE in a strait line. ((Starlink satellites?)),6/25/2020,44.5096,-76.4699
4/27/2020 21:05,Kitty Hawk,NC,us,Formation,10 seconds,Observed straight line of 8-12 â€œmoving stars on a very clear night. ((Starlink satellites?)),6/25/2020,36.0664,-75.6935
4/27/2020 21:03,Ellicott City,MD,us,Formation,2 minutes,"A lined formation of brightly lit objects moving West to East, 12-15 objects in two groups, ((Starlink satellites?))",6/25/2020,39.2675,-76.798
4/27/2020 21:01,Buffalo,NY,us,Formation,2 minutes,"A long queue of whitish round orbs, perhaps 15 total, in the south covering the whole heavens. ((Starlink satellites?))",6/25/2020,42.8877,-78.8794
4/27/2020 21:00,Wyomissing,PA,us,Unknown,>5 minutes,20 Lights in a row. ((Starlink satellites?)),6/25/2020,40.3293,-75.9678
4/27/2020 21:00,Williamsburg,VA,us,Light,1 minute 30 seconds,40 plus lights detected in the sky traveling at a high rate of speed straight in a line. ((Starlink satellites?)),6/25/2020,,
4/27/2020 21:00,Chesapeake,VA,us,Other,10 seconds,Five lights (looked like stars) moving south one behind the other and disappeared in succession. ((Starlink satellites?)),6/25/2020,,
4/27/2020 21:00,Edwardsville,KS,us,Light,5 sec,Walked outside and seen a straight line of about 15 lights not in a row but two or three separated by a space. ((Starlink satellites?)),6/25/2020,38.8113,-89.9557
