latitude,longitude,geometry,city,zip,dst,geopoint,state,timezone
42.381929,-71.09908,Point,Somerville,2143,1,"42.381929,-71.09908",MA,-5
40.672834,-76.27989,Point,Llewellyn,17944,1,"40.672834,-76.27989",PA,-5
41.600392,-76.24243,Point,Sugar Run,18846,1,"41.600392,-76.24243",PA,-5
40.361206,-75.31101,Point,Sellersville,18960,1,"40.361206,-75.31101",PA,-5
39.122023,-80.95448,Point,Berea,26327,1,"39.122023,-80.95448",WV,-5
39.09666,-80.62283,Point,Camden,26338,1,"39.09666,-80.62283",WV,-5
39.22241,-81.81945,Point,Coolville,45723,1,"39.22241,-81.81945",OH,-5
39.183164,-86.50293,Point,Bloomington,47408,0,"39.183164,-86.50293",IN,-5
25.558428,-80.458168,Point,Miami Beach,33239,1,"25.558428,-80.458168",FL,-5
48.937584,-99.8055,Point,Saint John,58369,1,"48.937584,-99.8055",ND,-6
47.441629,-104.86652,Point,Bloomfield,59315,1,"47.441629,-104.86652",MT,-7
41.839679,-88.088716,Point,Bensenville,60105,1,"41.839679,-88.088716",IL,-6
40.463079,-88.3731,Point,Gibson City,60936,1,"40.463079,-88.3731",IL,-6
29.677893,-90.0901,Point,Metairie,70033,1,"29.677893,-90.0901",LA,-6
37.825966,-94.55673,Point,Deerfield,64741,1,"37.825966,-94.55673",MO,-6
37.37815,-91.78576,Point,Raymondville,65555,1,"37.37815,-91.78576",MO,-6
39.415907,-95.32966,Point,Nortonville,66060,1,"39.415907,-95.32966",KS,-6
46.653912,-96.42891,Point,Barnesville,56514,1,"46.653912,-96.42891",MN,-6
43.73161,-97.38526,Point,Salem,57058,1,"43.73161,-97.38526",SD,-6
44.523028,-99.03397,Point,Miller,57362,1,"44.523028,-99.03397",SD,-6
36.048254,-90.08539,Point,Hornersville,63855,1,"36.048254,-90.08539",MO,-6
39.585185,-94.90957,Point,De Kalb,64440,1,"39.585185,-94.90957",MO,-6
36.120567,-91.15045,Point,Black Rock,72415,1,"36.120567,-91.15045",AR,-6
39.735745,-105.19337,Point,Golden,80401,1,"39.735745,-105.19337",CO,-7
38.876897,-105.30711,Point,Florissant,80816,1,"38.876897,-105.30711",CO,-7
43.636332,-111.14842,Point,Victor,83455,1,"43.636332,-111.14842",ID,-7
34.955971,-96.754575,Point,Konawa,74894,1,"34.955971,-96.754575",OK,-6
32.767268,-96.777626,Point,Dallas,75378,1,"32.767268,-96.777626",TX,-6
41.81571,-112.11338,Point,Fielding,84311,1,"41.81571,-112.11338",UT,-7
35.013495,-114.58524,Point,Fort Mohave,86426,0,"35.013495,-114.58524",AZ,-7
35.46019,-115.49467,Point,Nipton,92364,1,"35.46019,-115.49467",CA,-8
38.377411,-121.444429,Point,Sacramento,94259,1,"38.377411,-121.444429",CA,-8
37.278843,-121.95446,Point,Campbell,95008,1,"37.278843,-121.95446",CA,-8
47.653568,-117.431742,Point,Spokane,99214,1,"47.653568,-117.431742",WA,-8
43.892373,-73.31583,Point,Shoreham,5770,1,"43.892373,-73.31583",VT,-5
44.497557,-71.950519,Point,Lyndon,5849,1,"44.497557,-71.950519",VT,-5
40.302718,-74.24928,Point,Eatontown,7799,1,"40.302718,-74.24928",NJ,-5
40.922326,-72.637078,Point,Holtsville,501,1,"40.922326,-72.637078",NY,-5
18.393355,-65.972495,Point,Carolina,988,0,"18.393355,-65.972495",PR,-4
42.446396,-71.459405,Point,Weston,2193,1,"42.446396,-71.459405",MA,-5
44.134587,-90.43289,Point,Warrens,54666,1,"44.134587,-90.43289",WI,-6
38.397678,-84.2939,Point,Cynthiana,41031,1,"38.397678,-84.2939",KY,-5
37.058356,-88.14097,Point,Kuttawa,42055,1,"37.058356,-88.14097",KY,-6
40.058307,-85.38566,Point,Springport,47386,0,"40.058307,-85.38566",IN,-5
44.56801,-68.68116,Point,East Orland,4431,1,"44.56801,-68.68116",ME,-5
44.721393,-68.78905,Point,Orrington,4474,1,"44.721393,-68.78905",ME,-5
41.411536,-73.24888,Point,Sandy Hook,6482,1,"41.411536,-73.24888",CT,-5
41.097836,-79.66317,Point,Parker,16049,1,"41.097836,-79.66317",PA,-5
41.127485,-79.32695,Point,Limestone,16234,1,"41.127485,-79.32695",PA,-5
48.102064,-100.61537,Point,Karlsruhe,58744,1,"48.102064,-100.61537",ND,-6
40.341123,-89.32028,Point,Armington,61721,1,"40.341123,-89.32028",IL,-6
32.639661,-96.95317,Point,Dallas,75249,1,"32.639661,-96.95317",TX,-6
39.254607,-106.97888,Point,Snowmass,81654,1,"39.254607,-106.97888",CO,-7
44.890668,-110.89421,Point,Yellowstone National Park,82190,1,"44.890668,-110.89421",WY,-7
39.614779,-79.24494,Point,Bittinger,21522,1,"39.614779,-79.24494",MD,-5
38.777863,-76.0782,Point,Easton,21601,1,"38.777862999999996,-76.0782",MD,-5
38.747216,-75.91459,Point,Preston,21655,1,"38.747216,-75.91459",MD,-5
47.314743,-91.25765,Point,Silver Bay,55614,1,"47.314743,-91.25765",MN,-6
43.104527,-97.24905,Point,Irene,57037,1,"43.104527,-97.24905",SD,-6
43.214133,-97.53946,Point,Menno,57045,1,"43.214133,-97.53946",SD,-6
